*** 令和６年度 設問別得点率及び正答率 ***,,,,,
問題区分＝本試験,人数＝433173,平均正答率＝0.6031,,,
科目＝国語,総平均点＝116.50,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,ﾂ,0.449,1,0.449,0.449
1,ﾃ-ﾄ,0.51,2,0.2552,0.2552
1,ﾅ,0.051,1,0.0507,0.0507
1,ﾆ-ﾇ,0.125,2,0.0627,0.0627
1,ﾈ-ﾉ,0.059,1,0.0593,0.0593
2,合計,10.389,30,0.3463,0.3921
2,ｱ-ｲ,1.465,2,0.7326,0.7326
2,ｳ-ｴ,0.715,1,0.7146,0.7146
2,ｵ-ｷ,1.297,2,0.6486,0.6486
2,ｸ,0.593,1,0.593,0.593
2,ｹ-ｺ,0.49,1,0.4901,0.4901
2,ｻ,0.595,1,0.5955,0.5955
2,ｼ,0.549,1,0.549,0.549
2,ｽ,1.296,3,0.4321,0.4321
2,ｾ-ｿ,0.396,2,0.1978,0.1978
2,ﾀ,0.229,2,0.1145,0.1145
2,ﾁ,0.968,4,0.2421,0.2421
2,ﾂ,0.423,2,0.2116,0.2116
2,ﾃ,0.303,1,0.3032,0.3032
2,ﾄ-ﾅ,0.513,3,0.1709,0.1709
2,ﾆ-ﾇ,0.096,2,0.0482,0.0482
2,ﾈ,0.46,2,0.2298,0.2298
3,合計,6.733,20,0.3367,0.3406
3,ｱ,1.231,2,0.6155,0.6155
3,ｲ,1.139,2,0.5697,0.5697
3,ｳ-ｴ,1.669,3,0.5563,0.5563
3,ｵ,0.938,2,0.4692,0.4692
3,ｶ,0.137,3,0.0456,0.0456
3,ｷ,0.385,2,0.1925,0.1925
3,ｸ-ｹ,0.663,2,0.3316,0.3316
3,ｺ,0.239,2,0.1196,0.1196
3,ｻ,0.331,2,0.1656,0.1656
4,合計,6.135,20,0.3068,0.3337
4,ｱ-ｲ,1.174,2,0.5872,0.5872
4,ｳ,1.267,2,0.6333,0.6333
4,ｴ,0.708,2,0.3539,0.3539
4,ｵ,0.598,2,0.299,0.299
4,ｶ,1.073,3,0.3576,0.3576
4,ｷ,1.064,3,0.3547,0.3547
4,ｸ-ｼ,0.141,3,0.0471,0.0471
4,ｽ-ﾀ,0.11,3,0.0367,0.0367
