óﬂòaÇTîNìx ã≥â»ï ê¨ê—ï™ïzê}Åiñ{ééå±Åj,óﬂòa5îN2åé2ì˙,,,,,,,,,,,,,,,,,,,
ã≥â»ñº,ñûì_,ç≈çÇì_,ç≈í·ì_,ïΩãœì_,ïWèÄïŒç∑,éÛå±é“êî,ìæì_ó¶,ÇTï™ílÇeÇP,ÇTï™ílÇeÇQ,ÇTï™ílÇeÇR,ÇTï™ílÇeÇS,,,,,,,,,
çëÅ@åÍ,200,200,0,105.74,34.1,445358,0.5287,74,95,115,137,,,,,,,,,
ì_êî,êlêî,î‰ó¶ÅiÅìÅj,,,,,,,,,,,,,,,,,,
142,3404,0.76,*****,,,,,,,,,,,,,,,,,
143,3122,0.7,****,,,,,,,,,,,,,,,,,
144,3123,0.7,****,,,,,,,,,,,,,,,,,
145,3041,0.68,****,,,,,,,,,,,,,,,,,
146,3272,0.73,****,,,,,,,,,,,,,,,,,
147,2952,0.66,****,,,,,,,,,,,,,,,,,
148,2887,0.65,****,,,,,,,,,,,,,,,,,
149,2748,0.62,****,,,,,,,,,,,,,,,,,
150,2758,0.62,****,,,,,,,,,,,,,,,,,
151,2630,0.59,****,,,,,,,,,,,,,,,,,
152,2588,0.58,***,,,,,,,,,,,,,,,,,
153,2521,0.57,***,,,,,,,,,,,,,,,,,
154,2352,0.53,***,,,,,,,,,,,,,,,,,
155,2251,0.51,***,,,,,,,,,,,,,,,,,
156,2176,0.49,***,,,,,,,,,,,,,,,,,
157,2117,0.48,***,,,,,,,,,,,,,,,,,
158,2089,0.47,***,,,,,,,,,,,,,,,,,
159,2085,0.47,***,,,,,,,,,,,,,,,,,
160,1898,0.43,***,,,,,,,,,,,,,,,,,
161,1801,0.4,**,,,,,,,,,,,,,,,,,
162,1623,0.36,**,,,,,,,,,,,,,,,,,
163,1609,0.36,**,,,,,,,,,,,,,,,,,
164,1559,0.35,**,,,,,,,,,,,,,,,,,
165,1477,0.33,**,,,,,,,,,,,,,,,,,
166,1406,0.32,**,,,,,,,,,,,,,,,,,
167,1164,0.26,**,,,,,,,,,,,,,,,,,
168,1229,0.28,**,,,,,,,,,,,,,,,,,
169,1184,0.27,**,,,,,,,,,,,,,,,,,
170,1132,0.25,**,,,,,,,,,,,,,,,,,
171,1016,0.23,*,,,,,,,,,,,,,,,,,
172,897,0.2,*,,,,,,,,,,,,,,,,,
173,803,0.18,*,,,,,,,,,,,,,,,,,
174,725,0.16,*,,,,,,,,,,,,,,,,,
175,675,0.15,*,,,,,,,,,,,,,,,,,
176,661,0.15,*,,,,,,,,,,,,,,,,,
177,705,0.16,*,,,,,,,,,,,,,,,,,
178,488,0.11,*,,,,,,,,,,,,,,,,,
179,489,0.11,*,,,,,,,,,,,,,,,,,
180,386,0.09,*,,,,,,,,,,,,,,,,,
181,412,0.09,*,,,,,,,,,,,,,,,,,
182,386,0.09,*,,,,,,,,,,,,,,,,,
183,312,0.07,,,,,,,,,,,,,,,,,,
184,332,0.07,,,,,,,,,,,,,,,,,,
185,168,0.04,,,,,,,,,,,,,,,,,,
186,196,0.04,,,,,,,,,,,,,,,,,,
187,144,0.03,,,,,,,,,,,,,,,,,,
188,185,0.04,,,,,,,,,,,,,,,,,,
189,144,0.03,,,,,,,,,,,,,,,,,,
190,94,0.02,,,,,,,,,,,,,,,,,,
191,79,0.02,,,,,,,,,,,,,,,,,,
192,17,0,,,,,,,,,,,,,,,,,,
193,93,0.02,,,,,,,,,,,,,,,,,,
194,24,0.01,,,,,,,,,,,,,,,,,,
195,71,0.02,,,,,,,,,,,,,,,,,,
196,45,0.01,,,,,,,,,,,,,,,,,,
197,0,0,,,,,,,,,,,,,,,,,,
198,1,0,,,,,,,,,,,,,,,,,,
199,0,0,,,,,,,,,,,,,,,,,,
200,34,0.01,,,,,,,,,,,,,,,,,,
óﬂòaÇTîNìx â»ñ⁄ï ê¨ê—ï™ïzê}Åiñ{ééå±Åj,óﬂòa5îN2åé2ì˙,,,,,,,,,,,,,,,,,,,
