*** 令和５年度 設問別得点率及び正答率 ***,,,,,
問題区分＝本試験,人数＝445358,平均正答率＝0.5448,,,
科目＝国語,総平均点＝105.74,,,,
大問,解答番号,平均点,配点,得点率,正答率
科目＝地理Ａ,総平均点＝55.19,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,11.209,20,0.5604,0.5576
1,1,1.493,3,0.4976,0.4976
1,2,0.674,3,0.2245,0.2245
1,3,1.451,4,0.3628,0.3628
1,4,3.234,4,0.8084,0.8084
1,5,2.139,3,0.7129,0.7129
1,6,2.219,3,0.7396,0.7396
2,合計,10.62,20,0.531,0.5109
2,7,1.225,3,0.4083,0.4083
2,8,2.399,3,0.7997,0.7997
2,9,0.908,2,0.4539,0.4539
2,10,0.859,2,0.4297,0.4297
2,11,0.733,3,0.2444,0.2444
2,12,1.401,3,0.467,0.467
2,13,3.094,4,0.7735,0.7735
3,合計,10.497,20,0.5249,0.5259
3,14,0.652,3,0.2173,0.2173
3,15,1.197,3,0.3991,0.3991
3,16,2.078,4,0.5194,0.5194
3,17,2.081,3,0.6935,0.6935
3,18,2.043,4,0.5107,0.5107
3,19,2.447,3,0.8157,0.8157
4,合計,11.86,20,0.593,0.5904
4,20,2.299,4,0.5747,0.5747
4,21,1.187,3,0.3957,0.3957
4,22,2.203,3,0.7342,0.7342
4,23,1.768,3,0.5892,0.5892
4,24,2.636,4,0.6591,0.6591
4,25,1.768,3,0.5892,0.5892
5,合計,11.002,20,0.5501,0.5575
5,26,1.209,3,0.403,0.403
5,27,2.23,3,0.7435,0.7435
5,28,1.783,4,0.4457,0.4457
5,29,2.083,4,0.5209,0.5209
5,30,1.429,3,0.4762,0.4762
5,31,2.268,3,0.7561,0.7561
問題区分＝本試験,人数＝139012,平均正答率＝0.6072,,,
科目＝地理Ｂ,総平均点＝60.46,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,11.79,20,0.5895,0.6058
1,1,2.104,3,0.7015,0.7015
1,2,1.589,3,0.5298,0.5298
1,3,2.794,4,0.6984,0.6984
1,4,1.739,2,0.8696,0.8696
1,5,1.522,2,0.761,0.761
1,6,0.634,3,0.2114,0.2114
1,7,1.406,3,0.4688,0.4688
2,合計,11.347,20,0.5673,0.5714
2,8,2.56,3,0.8533,0.8533
2,9,0.8,3,0.2668,0.2668
2,10,2.539,4,0.6348,0.6348
2,11,1.703,4,0.4258,0.4258
2,12,2.189,3,0.7297,0.7297
2,13,1.555,3,0.5182,0.5182
3,合計,11.651,20,0.5825,0.5734
3,14,1.379,3,0.4595,0.4595
3,15,2.563,3,0.8542,0.8542
3,16,1.797,4,0.4493,0.4493
3,17,3.521,4,0.8802,0.8802
3,18,1.556,3,0.5186,0.5186
3,19,0.836,3,0.2786,0.2786
4,合計,12.344,20,0.6172,0.6078
4,20,0.786,3,0.2621,0.2621
4,21,2.752,4,0.688,0.688
4,22,2.607,3,0.8689,0.8689
4,23,2.068,3,0.6895,0.6895
4,24,2.865,4,0.7163,0.7163
4,25,1.266,3,0.4219,0.4219
5,合計,13.33,20,0.6665,0.6779
5,26,1.744,3,0.5812,0.5812
5,27,2.652,3,0.884,0.884
5,28,2.193,4,0.5482,0.5482
5,29,2.317,4,0.5793,0.5793
5,30,1.889,3,0.6296,0.6296
5,31,2.536,3,0.8453,0.8453
問題区分＝本試験,人数＝64676,平均正答率＝0.5855,,,
科目＝現代社会,総平均点＝59.46,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,16.402,25,0.6561,0.6295
1,1,3.205,4,0.8014,0.8014
1,2,1.53,3,0.5099,0.5099
1,3,1.295,3,0.4318,0.4318
1,4,0.843,3,0.2809,0.2809
1,5,2.656,4,0.6639,0.6639
1,6,3.72,4,0.93,0.93
1,7,3.154,4,0.7884,0.7884
2,合計,11.523,22,0.5238,0.5344
2,8,2.076,3,0.6919,0.6919
2,9,2.548,3,0.8493,0.8493
2,10,1.887,3,0.6289,0.6289
2,11,2.132,3,0.7106,0.7106
2,12,0.871,3,0.2902,0.2902
2,13,0.812,3,0.2707,0.2707
2,14,1.198,4,0.2996,0.2996
3,合計,7.974,20,0.3987,0.3813
3,15,2.085,4,0.5213,0.5213
3,16,0.57,3,0.1899,0.1899
3,17,1.696,3,0.5652,0.5652
3,18,0.438,3,0.146,0.146
3,19,2.357,4,0.5893,0.5893
3,20,0.828,3,0.2759,0.2759
4,合計,15.279,22,0.6945,0.6967
4,21,1.947,3,0.6491,0.6491
4,22,2.43,3,0.81,0.81
4,23,2.446,3,0.8154,0.8154
4,24,1.874,3,0.6245,0.6245
4,25,1.644,3,0.548,0.548
4,26,2.342,3,0.7808,0.7808
4,27,2.596,4,0.649,0.649
5,合計,8.279,11,0.7526,0.751
5,28,3.195,4,0.7987,0.7987
5,29,2.199,3,0.7329,0.7329
5,30,2.885,4,0.7213,0.7213
問題区分＝本試験,人数＝19878,平均正答率＝0.5902,,,
科目＝倫理,総平均点＝59.02,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,15.037,24,0.6265,0.6265
1,1,0.648,3,0.2161,0.2161
1,2,2.157,3,0.7188,0.7188
1,3,2.37,3,0.7899,0.7899
1,4,2.133,3,0.7108,0.7108
1,5,2.115,3,0.7049,0.7049
1,6,2.034,3,0.6778,0.6778
1,7,2.078,3,0.6925,0.6925
1,8,1.504,3,0.5014,0.5014
2,合計,13.002,24,0.5418,0.5418
2,9,2.12,3,0.7068,0.7068
2,10,1.704,3,0.5681,0.5681
2,11,0.766,3,0.2554,0.2554
2,12,2.075,3,0.6917,0.6917
2,13,1.333,3,0.4443,0.4443
2,14,1.366,3,0.4552,0.4552
2,15,1.011,3,0.337,0.337
2,16,2.627,3,0.8757,0.8757
3,合計,15.177,24,0.6324,0.6324
3,17,0.901,3,0.3005,0.3005
3,18,2.314,3,0.7713,0.7713
3,19,1.426,3,0.4755,0.4755
3,20,2.077,3,0.6922,0.6922
3,21,2.276,3,0.7587,0.7587
3,22,1.588,3,0.5293,0.5293
3,23,2.756,3,0.9188,0.9188
3,24,1.838,3,0.6127,0.6127
4,合計,15.807,28,0.5645,0.5636
4,25,1.099,2,0.5493,0.5493
4,26,1.354,3,0.4512,0.4512
4,27,2.497,3,0.8323,0.8323
4,28,0.955,3,0.3185,0.3185
4,29,1.67,3,0.5568,0.5568
4,30,2.344,4,0.586,0.586
4,31,2.495,3,0.8317,0.8317
4,32,1.184,3,0.3948,0.3948
4,33,2.208,4,0.552,0.552
問題区分＝本試験,人数＝44707,平均正答率＝0.5116,,,
科目＝政治・経済,総平均点＝50.96,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,12.911,26,0.4966,0.5058
1,1,1.773,3,0.5909,0.5909
1,2,1.489,3,0.4965,0.4965
1,3,1.676,3,0.5586,0.5586
1,4,1.219,4,0.3048,0.3048
1,5,1.259,3,0.4196,0.4196
1,6,1.357,3,0.4524,0.4524
1,7,1.867,4,0.4668,0.4668
1,8,2.27,3,0.7568,0.7568
2,合計,11.534,25,0.4614,0.4564
2,9,1.611,3,0.5371,0.5371
2,10,1.635,3,0.5448,0.5448
2,11,1.291,3,0.4304,0.4304
2,12,1.462,3,0.4872,0.4872
2,13,1.669,3,0.5564,0.5564
2,14,0.882,3,0.294,0.294
2,15,2.32,4,0.58,0.58
2,16,0.665,3,0.2215,0.2215
3,合計,13.57,25,0.5428,0.5514
3,17,1.683,3,0.5611,0.5611
3,18,1.342,4,0.3355,0.3355
3,19,1.386,3,0.4621,0.4621
3,20,1.337,3,0.4457,0.4457
3,21,1.911,3,0.6371,0.6371
3,22,1.244,3,0.4148,0.4148
3,23,2.514,3,0.8379,0.8379
3,24,2.152,3,0.7172,0.7172
4,合計,12.949,24,0.5396,0.5396
4,25,1.283,4,0.3207,0.3207
4,26,1.341,4,0.3352,0.3352
4,27,1.351,4,0.3378,0.3378
4,28,3.171,4,0.7928,0.7928
4,29,2.574,4,0.6436,0.6436
4,30,3.229,4,0.8074,0.8074
問題区分＝本試験,人数＝45578,平均正答率＝0.6056,,,
科目＝倫理，政治・経済,総平均点＝60.59,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,7.37,12,0.6142,0.6142
1,1,0.743,3,0.2476,0.2476
1,2,2.256,3,0.7522,0.7522
1,3,2.231,3,0.7437,0.7437
1,4,2.14,3,0.7132,0.7132
2,合計,8.967,12,0.7473,0.7473
2,5,2.148,3,0.716,0.716
2,6,1.699,3,0.5662,0.5662
2,7,2.317,3,0.7724,0.7724
2,8,2.803,3,0.9345,0.9345
3,合計,9.093,12,0.7578,0.7578
3,9,1.671,3,0.5569,0.5569
3,10,2.307,3,0.7688,0.7688
3,11,2.886,3,0.9621,0.9621
3,12,2.229,3,0.7431,0.7431
4,合計,7.921,14,0.5658,0.548
4,13,1.348,3,0.4494,0.4494
4,14,1.193,3,0.3978,0.3978
4,15,2.588,4,0.647,0.647
4,16,2.791,4,0.6978,0.6978
5,合計,10.744,19,0.5655,0.5578
5,17,1.845,3,0.615,0.615
5,18,1.843,3,0.6143,0.6143
5,19,1.587,3,0.5289,0.5289
5,20,1.518,3,0.506,0.506
5,21,2.814,4,0.7034,0.7034
5,22,1.138,3,0.3794,0.3794
6,合計,10.765,19,0.5666,0.5757
6,23,1.614,4,0.4035,0.4035
6,24,1.454,3,0.4846,0.4846
6,25,1.343,3,0.4475,0.4475
6,26,2.23,3,0.7434,0.7434
6,27,1.338,3,0.4459,0.4459
6,28,2.787,3,0.9289,0.9289
7,合計,5.726,12,0.4771,0.4771
7,29,1.024,3,0.3412,0.3412
7,30,1.217,3,0.4057,0.4057
7,31,1.224,3,0.408,0.408
7,32,2.261,3,0.7536,0.7536
問題区分＝本試験,人数＝5153,平均正答率＝0.3986,,,
科目＝数学Ⅰ,総平均点＝37.84,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,10,20,0.5,0.5422
1,ｱ-ｲ,1.396,2,0.6978,0.6978
1,ｳ-ｴ,0.762,1,0.7623,0.7623
1,ｵ-ｶ,0.62,2,0.3099,0.3099
1,ｷ-ｸ,0.576,2,0.288,0.288
1,ｹ-ｺ,0.391,3,0.1304,0.1304
1,ｻ,2.21,3,0.7367,0.7367
1,ｼ-ｾ,1.867,2,0.9336,0.9336
1,ｿ-ﾁ,1.772,2,0.8859,0.8859
1,ﾂ-ﾃ,0.406,3,0.1355,0.1355
2,合計,6.218,30,0.2073,0.2034
2,ｱ,1.738,3,0.5795,0.5795
2,ｲ,0.869,3,0.2897,0.2897
2,ｳ-ｵ,0.639,3,0.2129,0.2129
2,ｶ,0.471,2,0.2354,0.2354
2,ｷ-ｸ,0.169,2,0.0846,0.0846
2,ｹ,0.319,2,0.1593,0.1593
2,ｺ,0.377,2,0.1886,0.1886
2,ｻ-ｿ,0.031,3,0.0105,0.0105
2,ﾀ-ﾁ,0.575,2,0.2874,0.2874
